price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,lengthWidth,culet
872,0.41,1,4,6,2,1,5,62.2,61,1.34,0
872,0.46,1,3,5,2,1,7,64.2,60,1.39,0
873,0.47,1,5,1,2,1,8,63,55,1.33,0
874,0.4,1,5,2,2,2,8,62.1,57,1.38,0
874,0.43,1,5,3,2,1,8,61.9,61,1.4,0
874,0.5,0,6,0,1,1,8,68.1,61,1.35,0
874,0.56,1,3,0,1,0,8,57.9,59,1.44,0
875,0.4,1,5,2,1,2,8,62.6,58,1.42,0
875,0.5,1,3,0,1,1,8,60.2,59,1.38,1
876,0.41,1,6,3,1,0,8,63.1,58,1.4,0
876,0.46,1,5,3,1,0,8,64.2,58,1.4,0
877,0.42,1,6,2,0,0,8,61,60,1.34,0
877,0.5,1,4,1,2,1,7,59.5,57,1.35,0
878,0.47,1,5,1,2,1,8,62.4,59,1.39,0
878,0.5,0,5,1,2,0,8,56.9,64,1.44,0
878,0.5,1,5,1,2,1,8,59.6,61,1.37,0
878,0.5,1,5,1,1,0,8,62.6,61,1.36,0
878,0.53,1,1,1,1,1,8,65,59,1.37,0
880,0.51,1,5,0,0,0,8,63.2,59,1.34,0
881,0.51,0,2,1,2,1,7,65.7,59,1.44,0
881,0.56,1,0,2,2,0,7,59.5,59,1.43,0
882,0.5,1,6,0,1,0,8,60,60,1.37,0
882,0.51,1,4,0,0,0,8,60.6,62,1.39,0
883,0.5,1,5,0,2,0,8,60.8,62,1.4,0
883,0.5,1,2,1,1,0,5,63.1,59,1.31,0
883,0.51,1,3,0,1,1,8,60.3,60,1.4,0
883,0.53,0,4,0,2,1,8,56.9,63,1.44,0
883,0.54,0,3,1,0,0,6,66.7,62,1.45,0
885,0.54,1,3,0,1,1,8,58.6,63,1.38,0
886,0.4,1,4,4,2,1,7,58.8,62,1.43,0
886,0.5,1,1,1,1,1,8,61.8,62,1.35,0
887,0.4,1,6,3,1,1,7,62.6,55,1.41,0
888,0.4,1,4,5,2,1,8,61,58,1.38,0
888,0.5,0,2,1,1,1,8,65.5,57,1.36,0
888,0.5,1,2,1,2,1,8,59.6,59,1.43,0
888,0.5,1,2,1,1,1,8,64.9,58,1.44,0
888,0.5,1,2,0,2,1,8,62.8,62,1.39,0
889,0.34,1,6,5,2,1,8,59.4,55,1.27,0
889,0.42,1,3,4,2,1,8,59.9,58,1.41,0
889,0.5,1,4,0,2,0,5,62.7,60,1.37,0
890,0.41,1,6,2,1,0,8,61.9,59,1.32,0
890,0.46,0,4,4,1,0,8,67.7,59,1.48,0
891,0.35,1,6,5,1,1,8,63.3,59,1.34,0
891,0.45,1,2,1,1,1,8,64.5,59,1.39,0
891,0.49,1,6,1,2,0,8,60.1,57,1.37,0
892,0.4,1,6,2,2,1,8,60.5,58,1.4,0
892,0.46,1,1,1,1,1,8,58.4,58,1.38,0
892,0.5,1,4,1,1,0,3,60.3,58,1.38,0
893,0.5,1,2,1,2,1,7,63.9,58,1.37,0
894,0.41,0,5,3,1,2,8,67.8,54,1.36,0
894,0.5,1,1,1,2,1,8,60.1,59,1.39,0
894,0.54,0,1,1,2,1,8,65.1,57,1.42,0
894,0.54,1,1,1,2,1,8,64.5,61,1.35,0
895,0.4,1,6,2,1,0,8,62.7,55,1.37,0
896,0.5,1,3,0,2,1,7,63.5,58,1.39,0
896,0.51,1,5,1,1,0,8,63.9,60,1.43,0
897,0.43,1,6,3,2,0,8,64,58,1.41,0
897,0.44,1,5,3,1,1,8,60.4,58,1.4,0
897,0.5,0,6,0,1,0,8,66,54,1.39,0
898,0.5,0,5,0,2,1,8,60,66,1.35,0
898,0.5,1,4,0,2,1,8,63.4,57,1.35,0
899,0.5,1,6,0,2,1,5,61.4,59,1.38,0
899,0.51,1,5,1,1,1,7,60.9,62,1.46,0
899,0.53,1,6,0,1,0,7,62.1,61,1.34,0
901,0.46,0,4,4,2,0,8,63.7,66,1.34,0
901,0.5,0,3,5,1,2,3,56.4,54,1.42,0
901,0.51,0,4,0,0,1,8,65.5,58,1.29,0
901,0.51,1,2,3,2,1,5,59.4,58,1.33,0
902,0.51,1,6,0,2,1,7,59.9,59,1.35,0
903,0.4,1,6,4,1,0,8,64.3,57,1.41,0
903,0.41,1,3,6,2,1,8,63.1,59,1.4,0
903,0.5,1,5,1,1,0,8,63.6,57,1.36,0
904,0.41,1,6,2,2,0,8,62.9,57,1.4,0
905,0.5,0,1,2,2,1,7,66.5,57,1.44,0
905,0.5,0,1,5,2,0,8,68.1,57,1.34,0
906,0.5,1,4,0,0,0,8,62.9,60,1.39,0
908,0.46,0,4,3,2,1,8,65.8,57,1.39,0
910,0.5,1,2,0,2,1,8,60.5,60,1.37,0
910,0.5,1,1,2,2,1,8,63,61,1.43,0
910,0.51,1,5,0,1,0,7,61,62,1.39,0
910,0.51,1,4,0,1,0,8,59,60,1.4,0
910,0.51,1,4,0,1,1,8,61.3,61,1.41,0
910,0.51,1,1,1,2,1,8,63.7,59,1.37,0
910,0.52,1,3,0,2,0,8,62.1,62,1.34,0
910,0.52,1,1,5,2,2,7,63.9,58,1.46,0
911,0.47,1,6,2,2,1,8,64.2,59,1.34,0
911,0.5,0,4,0,1,0,8,65.1,56,1.37,0
912,0.5,1,1,3,1,0,8,62.1,58,1.36,0
912,0.57,1,0,1,2,0,8,62.4,60,1.4,0
914,0.54,1,6,0,1,1,7,64,58,1.42,0
915,0.5,0,1,2,2,1,8,66.9,58,1.36,0
915,0.5,1,4,0,1,0,8,61.3,58,1.38,0
915,0.5,1,1,2,2,0,8,63.5,60,1.35,0
915,0.5,1,1,2,2,1,8,63.6,58,1.34,0
917,0.5,1,3,1,2,0,8,63.8,64,1.41,0
919,0.46,0,5,3,2,1,8,67.5,58,1.32,0
919,0.49,1,5,2,1,1,5,63.3,62,1.38,0
919,0.5,1,1,1,1,1,7,60.1,58,1.4,0
919,0.5,1,1,2,1,0,7,63.5,56,1.37,0
920,0.44,1,5,3,2,1,8,62.6,61,1.35,0
920,0.5,1,4,1,0,0,7,62.5,61,1.34,0
921,0.51,1,2,0,1,1,8,58,58,1.37,0
922,0.5,1,1,3,1,0,7,60.4,62,1.38,0
923,0.5,1,2,1,1,0,8,64.2,58,1.31,0
924,0.5,1,4,0,1,0,8,63.3,61,1.35,0
924,0.52,1,3,0,1,0,8,62.5,58,1.38,0
925,0.4,1,5,2,1,1,8,58,61,1.35,0
925,0.44,1,5,4,2,1,7,57.8,59,1.39,0
925,0.49,1,3,2,1,0,8,60.2,59,1.33,0
925,0.5,0,4,1,1,0,8,56.8,55,1.42,0
926,0.41,1,4,5,2,1,8,64.1,60,1.33,0
926,0.46,1,3,4,2,1,7,59.7,57,1.42,0
926,0.5,1,6,0,1,0,8,61.3,60,1.34,0
926,0.5,1,6,0,1,0,8,63.2,61,1.4,0
927,0.4,0,6,3,2,1,8,65.4,60,1.33,0
927,0.4,1,6,3,1,1,8,63.9,60,1.34,0
927,0.4,1,6,3,1,1,8,63.9,60,1.39,0
927,0.5,1,5,1,2,1,8,59.8,58,1.33,0
