price,carat,cut,color,clarity,polish,symmetry,flourescence,depth,table,length_width,culet,delivery
774,0.51,Good,I,VS2,VeryGood,Good,Medium,67.1,59.0,1.49,None,Dec7
776,0.31,VeryGood,D,VS1,VeryGood,VeryGood,None,59.7,56.0,1.35,None,Dec7
776,0.40,VeryGood,E,VS2,VeryGood,Good,None,63.3,57.0,1.35,None,Dec7
776,0.50,VeryGood,J,SI1,Excellent,Good,None,60.5,58.0,1.39,None,Dec7
777,0.45,Good,I,VS1,Excellent,Good,None,67.3,55.0,1.41,None,Dec4
777,0.50,VeryGood,I,VS2,VeryGood,Good,Medium,62.0,60.0,1.35,None,Dec7
779,0.40,VeryGood,E,VS2,VeryGood,VeryGood,None,63.3,62.0,1.34,None,Dec7
779,0.51,Good,J,VVS1,Excellent,VeryGood,None,65.2,57.0,1.37,None,Dec7
780,0.51,VeryGood,I,SI2,Excellent,VeryGood,None,61.9,60.0,1.39,None,Dec7
784,0.40,VeryGood,F,VS2,Excellent,VeryGood,None,60.6,59.0,1.37,None,Dec7
786,0.40,VeryGood,D,VS1,Good,Good,None,61.8,58.0,1.34,None,Dec7
787,0.37,VeryGood,E,VS2,VeryGood,Good,None,61.1,55.0,1.44,None,Dec7
788,0.40,VeryGood,E,VS1,Excellent,VeryGood,None,63.4,61.0,1.35,None,Dec7
788,0.40,VeryGood,G,VS1,Excellent,VeryGood,None,59.6,60.0,1.39,None,Dec7
788,0.41,VeryGood,E,VS2,VeryGood,Good,None,60.2,59.0,1.35,None,Dec7
788,0.60,VeryGood,J,VS1,VeryGood,VeryGood,Faint,58.7,60.0,1.36,None,Dec7
789,0.40,VeryGood,F,VS1,VeryGood,Good,None,63.5,60.0,1.36,None,Dec7
789,0.40,VeryGood,G,VVS2,Excellent,VeryGood,None,63.1,59.0,1.35,None,Dec4
793,0.40,VeryGood,F,VS1,VeryGood,VeryGood,None,62.5,58.0,1.40,None,Dec7
793,0.50,VeryGood,J,SI1,Excellent,VeryGood,None,62.5,58.0,1.36,None,Dec7
796,0.40,VeryGood,F,VS2,Excellent,Good,None,60.4,57.0,1.38,None,Dec7
796,0.40,VeryGood,F,VS2,Excellent,Good,None,61.3,62.0,1.34,None,Dec7
796,0.50,VeryGood,J,VS2,Excellent,VeryGood,None,63.4,57.0,1.40,None,Dec7
798,0.50,VeryGood,D,SI2,VeryGood,Good,None,62.4,60.0,1.38,None,Dec7
799,0.44,VeryGood,I,VS1,Excellent,Good,None,62.7,55.0,1.38,None,Dec4
801,0.40,VeryGood,F,VS1,Excellent,VeryGood,None,61.8,57.0,1.34,None,Dec4
803,0.50,VeryGood,G,SI2,VeryGood,Good,None,60.0,56.0,1.38,None,Dec7
803,0.50,VeryGood,J,VS2,Excellent,VeryGood,None,63.3,61.0,1.36,None,Dec7
804,0.40,VeryGood,F,VS2,Excellent,VeryGood,None,62.0,59.0,1.34,None,Dec7
805,0.40,VeryGood,E,VS2,Excellent,VeryGood,None,62.1,61.0,1.37,None,Dec7
805,0.50,VeryGood,J,VS1,Excellent,VeryGood,None,63.2,60.0,1.33,None,Dec4
806,0.51,VeryGood,I,SI1,VeryGood,VeryGood,None,64.0,57.0,1.33,None,Dec7
807,0.40,VeryGood,G,VS2,Excellent,VeryGood,None,62.7,59.0,1.36,None,Dec7
807,0.52,VeryGood,G,SI2,VeryGood,VeryGood,None,57.6,57.0,1.39,None,Dec7
